name,impl,M,N,K,group_size,priority,tag,ms_mean,ms_p50,ms_p95,ms_min,tflops_mean,speedup_vs_fp16,error
8b-b1,fp16,1,4096,4096,128,0,llama-3-8b,0.03189593601226807,0.03144511938095093,0.033960320949554444,0.030894720554351808,1.051997094146854,1.0,
8b-b1,marlin,1,4096,4096,128,0,llama-3-8b,0.049192959785461426,0.04912576198577881,0.04963967800140381,0.04897664070129395,0.6820982544318616,0.6483841621112346,
8b-b4,fp16,4,4096,4096,128,0,llama-3-8b,0.03144793605804443,0.03157952070236206,0.03182080030441284,0.031113600730895995,4.267934396466279,1.0,
8b-b4,marlin,4,4096,4096,128,0,llama-3-8b,0.04927884769439697,0.04931519985198975,0.04962495803833008,0.048726401329040527,2.7236377123172995,0.6381629751789037,
8b-b8,fp16,8,4096,4096,128,0,llama-3-8b,0.03154764842987061,0.031646080017089843,0.03203840017318726,0.03096640110015869,8.508889548351702,1.0,
8b-b8,marlin,8,4096,4096,128,0,llama-3-8b,0.04929036808013916,0.0494700813293457,0.04981311798095703,0.04864255905151367,5.44600226079793,0.6400367791650207,
70b-tp2-b1,fp16,1,8192,4096,128,0,llama-3-70b,0.051108479499816895,0.049178881645202635,0.059057278633117674,0.04889984130859375,1.3130671203051625,1.0,
70b-tp2-b1,marlin,1,8192,4096,128,0,llama-3-70b,0.04959603214263916,0.049487361907958986,0.05057280063629151,0.04831935882568359,1.353109535194138,1.0304953298043662,
70b-tp2-b4,fp16,4,8192,4096,128,0,llama-3-70b,0.04933452701568604,0.04925183773040771,0.04956480026245117,0.04922239780426026,5.4411275882841705,1.0,
70b-tp2-b4,marlin,4,8192,4096,128,0,llama-3-70b,0.04871065616607666,0.04873280048370361,0.04931136131286621,0.04817728042602539,5.510815848687854,1.0128076872436766,
70b-tp2-b8,fp16,8,8192,4096,128,0,llama-3-70b,0.04958604812622071,0.04956863880157471,0.049699201583862304,0.04951680183410644,10.827055841058382,1.0,
70b-tp2-b8,marlin,8,8192,4096,128,0,llama-3-70b,0.0484769287109375,0.048438401222229005,0.048990721702575686,0.04785344123840332,11.074771572293722,1.0228793251712947,
